participante;nomeParticipante;tipoParticipante;dataHoraInicioOperacao
03459850;COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO;IDRT;2020-11-03T09:30:00.000Z
03461243;COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP;IDRT;2020-11-03T09:30:00.000Z
03485130;COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DAS ENCOSTAS DA SERRA GERAL – CRESOL ENCOSTAS DA SERRA GERAL;IDRT;2020-11-03T09:30:00.000Z
03502131;COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE;IDRT;2020-11-03T09:30:00.000Z
03519240;COOPERATIVA DE CRÉDITO DOS INTEGRANTES DO PODER JUDICIÁRIO E DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB JUS-MP;IDRT;2020-11-03T09:30:00.000Z
03528402;COOPERATIVA DE CRÉDITO E INVESTIMENTOS DO ACRE - SICOOB ACRE;IDRT;2020-11-03T09:30:00.000Z
03535065;COOPERATIVA DE CRÉDITO SICOOB CREDMETAL;IDRT;2020-11-03T09:30:00.000Z
03566655;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE – SICREDI CELEIRO CENTRO OESTE;IDRT;2020-11-03T09:30:00.000Z
03575699;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DE SAÚDE DA REGIÃO DE RIBEIRÃO PRETO - MEDCRED DE RIBEIRÃO PRETO;IDRT;2020-11-03T09:30:00.000Z
03603683;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA SECRETARIA DE ESTADO DE FAZENDA DO DISTRITO FEDERAL - SICOOB CREDSEF;IDRT;2020-11-03T09:30:00.000Z
03612679;COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE SÃO BERNARDO DO CAMPO - CREDIABC;IDRT;2020-11-03T09:30:00.000Z
03612764;COOPERATIVA DE CRÉDITO DA REGIÃO DE FRONTEIRAS DE RO/MT LTDA. - SICOOB FRONTEIRAS;IDRT;2020-11-03T09:30:00.000Z
03620772;COOPERATIVA DE CRÉDITO MÚTUO DOS POLICIAIS FEDERAIS E SERVIDORES DA UNIÃO NO CEARÁ E LIVRE ADMISSÃO NAS MESORREGIÕES METROPOLITANA DE FORTALEZA E SUL CEARENSE - SICOOB CEARÁ;IDRT;2020-11-03T09:30:00.000Z
03632872;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;IDRT;2020-11-03T09:30:00.000Z
03645752;COOPERATIVA DE CRÉDITO CREDISG LTDA. - SICOOB CREDISG;IDRT;2020-11-03T09:30:00.000Z
03662047;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS INTEGRANTES DO MINISTERIO PUBLICO DO RIO GRANDE DO SUL - SICREDI MP;IDRT;2020-11-03T09:30:00.000Z
03732359;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PERNAMBUCO - SICOOB PERNAMBUCO;IDRT;2020-11-03T09:30:00.000Z
03750034;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS JUÍZES E CARREIRAS PÚBLICAS DO DIREITO DO ESTADO DO RIO GRANDE DO SUL – SICREDI AJURIS RS;IDRT;2020-11-03T09:30:00.000Z
03793242;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DO ESTADO DE SANTA CATARINA – SICREDI SUL SC;IDRT;2020-11-03T09:30:00.000Z
03816413;PAGUEVELOZ SERVICOS DE PAGAMENTO LTDA;IDRT;2020-11-03T09:30:00.000Z
03856113;FREEDOM2BUY.COM BRASIL LTDA.;IDRT;2020-11-03T09:30:00.000Z
03862898;COOPERATIVA DE ECONOMIA E CRÉDITO DOS EMPREGADOS DOS CORREIOS LTDA. - SICOOB COOPERCORREIOS;IDRT;2020-11-03T09:30:00.000Z
03921543;COOPERATIVA DE CRÉDITO RURAL ASCOOB ITAPICURU - ASCOOB ITAPICURU.;IDRT;2020-11-03T09:30:00.000Z
03930587;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SECURITARIOS, DOS CORRETORES DE SEGUROS E DE CAPITALIZACAO DO RIO DE JANEIRO LTDA.;IDRT;2020-11-03T09:30:00.000Z
03941182;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CIRCUITO DAS ÁGUAS - SICOOB CIRCUITO DAS ÁGUAS;IDRT;2020-11-03T09:30:00.000Z
03965737;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA OESTE CATARINENSE - CRESOL OESTE CATARINENSE;IDRT;2020-11-03T09:30:00.000Z
04013172;COOPERATIVA DE CRÉDITO SICOOB CRED-ACIF;IDRT;2020-11-03T09:30:00.000Z
04079285;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAJUBÁ LTDA - SICOOB SUL DE MINAS;IDRT;2020-11-03T09:30:00.000Z
04120633;COOPERATIVA DE CREDITO CLASSICA DO ESTADO DO RIO DE JANEIRO - SICOOB EMPRESAS RJ;IDRT;2020-11-03T09:30:00.000Z
04138455;COOPERATIVA DE CRÉDITO DO RIO GRANDE DO NORTE - SICOOB RIO GRANDE DO NORTE;IDRT;2020-11-03T09:30:00.000Z
04146333;COOPERATIVA DE CRÉDITO SICREDI PERNAMBUCRED;IDRT;2020-11-03T09:30:00.000Z
04152107;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA POLÍCIA MILITAR DO ESTADO DE SÃO PAULO DA REGIÃO CENTRO-OESTE PAULISTA - CREDMIL;IDRT;2020-11-03T09:30:00.000Z
04174720;COOPERATIVA DE CRÉDITO SICOOB COOPEMAR LTDA;IDRT;2020-11-03T09:30:00.000Z
04181542;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT;IDRT;2020-11-03T09:30:00.000Z
04237413;COOPERATIVA DE CRÉDITO DO VALE DO SÃO FRANCISCO - SICREDI VALE DO SÃO FRANCISCO;IDRT;2020-11-03T09:30:00.000Z
04243780;CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;IDRT;2020-11-03T09:30:00.000Z
04247370;COOPERATIVA DE CRÉDITO DE EMPRESÁRIOS - SICOOB/TRANSCREDI;IDRT;2020-11-03T09:30:00.000Z
04261151;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE DONA EMMA - CRESOL DONA EMMA;IDRT;2020-11-03T09:30:00.000Z
04281182;COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO;IDRT;2020-11-03T09:30:00.000Z
04307598;FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LIMITADA.;DRCT;2020-11-03T09:30:00.000Z
04321309;COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS NO ESTADO DA BAHIA LTDA. - SICOOB CRED EXECUTIVO;IDRT;2020-11-03T09:30:00.000Z
04350225;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA TRADIÇÃO – CRESOL TRADIÇÃO;IDRT;2020-11-03T09:30:00.000Z
04355489;COOPERATIVA DE CRÉDITO UNICRED COOMARCA LTDA. - COOMARCA;IDRT;2020-11-03T09:30:00.000Z
04388688;COOPERATIVA DE CRÉDITO SICOOB ENGECRED LTDA.;IDRT;2020-11-03T09:30:00.000Z
04406371;COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DO ESTADO DE GOIÁS LTDA;IDRT;2020-11-03T09:30:00.000Z
04445917;UNICRED REGIONAL NORTE LAGOS - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO REGIONAL NORTE LAGOS LTDA;IDRT;2020-11-03T09:30:00.000Z
04463602;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO CENTRO OESTE PAULISTA - SICREDI CENTRO OESTE PAULISTA;IDRT;2020-11-03T09:30:00.000Z
04484490;COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO DA ALTA NOROESTE DE SÃO PAULO - SICREDI ALTA NOROESTE SP;IDRT;2020-11-03T09:30:00.000Z
04490531;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DE GOIÁS - CRESOL GOIÁS;IDRT;2020-11-03T09:30:00.000Z
04525997;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS PROFESSORES, FUNCIONÁRIOS E ALUNOS DA UNIVERSIDADE DE CAXIAS DO SUL – SICREDI COOPERUCS;IDRT;2020-11-03T09:30:00.000Z
04529074;COOPERATIVA DE CRÉDITO DE CASCAVEL E REGIÃO - SICOOB CREDICAPITAL;IDRT;2020-11-03T09:30:00.000Z
04565791;COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE ARATIBA — CRESOL ARATIBA;IDRT;2020-11-03T09:30:00.000Z
04572960;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MILITARES ESTADUAIS DE SANTA CATARINA - CREDPOM;IDRT;2020-11-03T09:30:00.000Z
04622657;COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TENENTE PORTELA - CRESOL TENENTE PORTELA;IDRT;2020-11-03T09:30:00.000Z
04632856;CREDISIS - CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.;DRCT;2020-11-03T09:30:00.000Z
04649337;COOPERATIVA DE CRÉDITO DOS MILITARES E DA SEGURANÇA PÚBLICA NO DISTRITO FEDERAL LTDA. - SICOOB DFMIL;IDRT;2020-11-03T09:30:00.000Z
04663561;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA VALE DAS ÁGUAS - CRESOL VALE DAS ÁGUAS;IDRT;2020-11-03T09:30:00.000Z
04694278;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS INTEGRANTES DO MINISTÉRIO PÚBLICO E DA DEFENSORIA PÚBLICA NO ESTADO DO RIO DE JANEIRO LIMITADA. - SICOOB COMPERJ;IDRT;2020-11-03T09:30:00.000Z
04715685;COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CREDITRAN;DRCT;2020-11-03T09:30:00.000Z
04751713;COOPERATIVA DE CRÉDITO E INVESTIMENTOS DE RONDÔNIA – SICOOB CREDJURD;IDRT;2020-11-03T09:30:00.000Z
04833655;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SICOOB METALCRED;IDRT;2020-11-03T09:30:00.000Z
04853988;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BANDEIRANTES – SICREDI BANDEIRANTES SP;IDRT;2020-11-03T09:30:00.000Z
04866275;BANCO INBURSA S.A.;DRCT;2020-11-03T09:30:00.000Z
04876393;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO TRÊS FRONTEIRAS - SICOOB TRÊS FRONTEIRAS;IDRT;2020-11-03T09:30:00.000Z
04886317;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS INTEGRANTES DA MAGISTRATURA E DO MINISTÉRIO PÚBLICO NO ESTADO DO PARANÁ - SICREDI CREDJURIS;IDRT;2020-11-03T09:30:00.000Z
04902979;BANCO DA AMAZONIA S.A.;DRCT;2020-11-03T09:30:00.000Z
04913711;BANCO DO ESTADO DO PARÁ S.A.;DRCT;2020-11-03T09:30:00.000Z
05036532;CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB;IDRT;2020-11-03T09:30:00.000Z
05070112;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE CORONEL MARTINS - CRESOL PEDRA BRANCA;IDRT;2020-11-03T09:30:00.000Z
05158093;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO LESTE DA BACIA DO RIO DOCE LTDA SICOOB CREDILESTE;IDRT;2020-11-03T09:30:00.000Z
05203605;COOPERATIVA DE CRÉDITO DA AMAZÔNIA – SICOOB AMAZÔNIA;IDRT;2020-11-03T09:30:00.000Z
05211129;COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE MARCELINO RAMOS-CRESOL MARCELINO RAMOS;IDRT;2020-11-03T09:30:00.000Z
05220232;COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SANTA MARIA-CRESOL SANTA MARIA;IDRT;2020-11-03T09:30:00.000Z
05220243;COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SARANDI-CRESOL SARANDI;IDRT;2020-11-03T09:30:00.000Z
05222094;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PIRACANJUBA LTDA;IDRT;2020-11-03T09:30:00.000Z
05231945;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS VALES – CRESOL UNIÃO DOS VALES;IDRT;2020-11-03T09:30:00.000Z
05241145;COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE GETULIO VARGAS-CRESOL GETÚLIO VARGAS;IDRT;2020-11-03T09:30:00.000Z
05241619;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT;IDRT;2020-11-03T09:30:00.000Z
05247312;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CERRADO MATO-GROSSENSE - SICOOB CERRADO MT;IDRT;2020-11-03T09:30:00.000Z
05269976;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE FORMOSA DO SUL - CRESOL FORMOSA;IDRT;2020-11-03T09:30:00.000Z
05276770;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA FRONTEIRAS PR/SC/SP/ES - CRESOL FRONTEIRAS PR/SC/SP/ES;IDRT;2020-11-03T09:30:00.000Z
05277312;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA HORIZONTE - CRESOL HORIZONTE;IDRT;2020-11-03T09:30:00.000Z
05351887;ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;DRCT;2020-11-03T09:30:00.000Z
05392810;COOPERATIVA DE CRÉDITO DA REGIÃO MERIDIONAL DO BRASIL - SICOOB UNICOOB MERIDIONAL;IDRT;2020-11-03T09:30:00.000Z
05400634;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE GUARACIABA - CRESOL GUARACIABA;IDRT;2020-11-03T09:30:00.000Z
05410056;COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE JAGUARUNA – CRESOL JAGUARUNA;IDRT;2020-11-03T09:30:00.000Z
05425526;COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA CONCÓRDIA - CRESOL CONCÓRDIA;IDRT;2020-11-03T09:30:00.000Z
05428587;COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE OLIVEIRA DOS BREJINHOS - CRESOL OLIVEIRA DOS BREJINHOS;IDRT;2020-11-03T09:30:00.000Z
05442029;CASA DO CRÉDITO S.A. SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR;DRCT;2020-11-03T09:30:00.000Z
05442759;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA DE PORTO XAVIER – CRESOL PORTO XAVIER;IDRT;2020-11-03T09:30:00.000Z
05463212;COOPERATIVA CENTRAL DE CRÉDITO - AILOS;DRCT;2020-11-03T09:30:00.000Z
05463934;COOPERATIVA DE CREDITO CREDLIDER - SICOOB CREDLIDER;IDRT;2020-11-03T09:30:00.000Z
05477038;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA GRANDE TERESINA E MICRORREGIÕES DE CAMPO MAIOR, MÉDIO PARNAÍBA, ALTO MÉDIO GURGUEIA, FLORIANO, PICOS E LITORAL PIAUIENSE – SICOOB PIAUÍ;IDRT;2020-11-03T09:30:00.000Z
05494591;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ALFREDO WAGNER - CRESOL ALFREDO WAGNER;IDRT;2020-11-03T09:30:00.000Z
05545390;SICREDI COOMAMP - COOPERATIVA DE CRÉDITO DOS MEMBROS DE INSTITUIÇÕES PÚBLICAS DAS CARREIRAS JURÍDICAS E DOS SERVIDORES PÚBLICOS FEDERAIS, ESTADUAIS E MUNICIPAIS EM SÃO LUÍS/MA E MUNICÍPIOS CIRCUNVIZIN;IDRT;2020-11-03T09:30:00.000Z
05582619;COOPERATIVA DE CRÉDITO SICOOB OURO VERDE;IDRT;2020-11-03T09:30:00.000Z
05667301;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO - COOPERSERV;IDRT;2020-11-03T09:30:00.000Z
05745533;COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE ITATIBA DO SUL - CRESOL ITATIBA DO SUL;IDRT;2020-11-03T09:30:00.000Z
05772229;COOPERATIVA DE CRÉDITO UNICOOB OURO BRANCO - SICOOB UNICOOB OURO BRANCO;IDRT;2020-11-03T09:30:00.000Z
05856736;COOPERATIVA DE ECONOMIA E CRÉDITO DE LIVRE ADMISSÃO LTDA. - SICOOB EMPRESARIAL;IDRT;2020-11-03T09:30:00.000Z
05861932;COOPERATIVA DE CRÉDITO MÚTUO DOS ADVOGADOS DE SANTA CATARINA;IDRT;2020-11-03T09:30:00.000Z
05863726;COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DO PLANALTO SERRA DO RIO GRANDE DO SUL - CRESOL PLANALTO SERRA;IDRT;2020-11-03T09:30:00.000Z
05888589;COOPERATIVA DE CRÉDITO SUL - SICOOB SUL;IDRT;2020-11-03T09:30:00.000Z
05969937;COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE BEBEDOURO - COOCRESB.;IDRT;2020-11-03T09:30:00.000Z
05979692;COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DOS CREAS E DEMAIS ÁREAS TECNOLÓGICAS – CREDCREA;IDRT;2020-11-03T09:30:00.000Z
05983995;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE HUMAITÁ - CRESOL HUMAITÁ;IDRT;2020-11-03T09:30:00.000Z
06031727;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SANTO CRISTO - CRESOL SANTO CRISTO;IDRT;2020-11-03T09:30:00.000Z
06078926;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESCRIVÃES, NOTÁRIOS E REGISTRADORES NO ESTADO DO PARANÁ - SICREDI CREDENOREG PR;IDRT;2020-11-03T09:30:00.000Z
06126780;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DO VALE DAS ARAUCÁRIAS- CRESOL VALE DAS ARAUCÁRIAS;IDRT;2020-11-03T09:30:00.000Z
06139650;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE IBIRAIARAS - CRESOL NORDESTE;IDRT;2020-11-03T09:30:00.000Z
06174009;COOPERATIVA DE CRÉDITO SICOOB ALIANÇA;IDRT;2020-11-03T09:30:00.000Z
06324872;COOPERATIVA DE CRÉDITO CREDINOSSO LTDA - SICOOB CREDINOSSO;IDRT;2020-11-03T09:30:00.000Z
06332931;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CERRADO DE GOIÁS - SICREDI CERRADO GO;IDRT;2020-11-03T09:30:00.000Z
06910457;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO;IDRT;2020-11-03T09:30:00.000Z
07026923;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB ARENITO;IDRT;2020-11-03T09:30:00.000Z
07070495;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO EMPREENDEDORES - SICREDI EMPREENDEDORES PR;IDRT;2020-11-03T09:30:00.000Z
07097064;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MARECHAL CÂNDIDO RONDON E REGIÃO - SICOOB MARECHAL;IDRT;2020-11-03T09:30:00.000Z
07108146;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE RIO CRIXÁS LTDA.;IDRT;2020-11-03T09:30:00.000Z
07122321;COOPERATIVA DE CRÉDITO INTEGRADO - SICOOB UNICOOB INTEGRADO;IDRT;2020-11-03T09:30:00.000Z
07155434;BIZ - TECNOLOGIA EM MEIOS DE PAGAMENTO LTDA;IDRT;2020-11-03T09:30:00.000Z
07194313;COOPERATIVA DE CRÉDITO HORIZONTE - SICOOB HORIZONTE;IDRT;2020-11-03T09:30:00.000Z
07206072;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOVOS HORIZONTES - SICREDI NOVOS HORIZONTES PR/SP;IDRT;2020-11-03T09:30:00.000Z
07215632;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE APIÚNA - CRESOL APIÚNA;IDRT;2020-11-03T09:30:00.000Z
07237373;BANCO DO NORDESTE DO BRASIL S.A.;DRCT;2020-11-03T09:30:00.000Z
07252614;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PAIM FILHO - CRESOL PAIM FILHO;IDRT;2020-11-03T09:30:00.000Z
07268499;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA INTEGRAÇÃO - CRESOL INTEGRAÇÃO;IDRT;2020-11-03T09:30:00.000Z
07318874;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO MÉDIO OESTE - SICOOB MÉDIO OESTE;IDRT;2020-11-03T09:30:00.000Z
07320890;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE VITOR MEIRELES - CRESOL VITOR MEIRELES;IDRT;2020-11-03T09:30:00.000Z
07412987;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE PINHALZINHO - CRESOL PINHALZINHO;IDRT;2020-11-03T09:30:00.000Z
07440317;COOPERATIVA DE CRÉDITO DOS MEDICOS E DEMAIS PROFISSIONAIS DE NIVEL SUPERIOR DA AREA DE SAUDE DE SALVADOR E REGIAO METROPOLITANA LTDA - SICOOB CREDMED;IDRT;2020-11-03T09:30:00.000Z
07465539;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE WITMARSUM - CRESOL WITMARSUM;IDRT;2020-11-03T09:30:00.000Z
07469260;COOPERATIVA DE CRÉDITO CREDIFIEMG LTDA. – SICOOB CREDIFIEMG;IDRT;2020-11-03T09:30:00.000Z
07494300;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NA ÁREA DE SAÚDE, AFINS E EMPRESÁRIOS VINCULADOS À ACCI DE ERECHIM-RS-CREDISUL;IDRT;2020-11-03T09:30:00.000Z
07502031;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO OESTE LTDA.;IDRT;2020-11-03T09:30:00.000Z
07509426;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE XANXERÊ - CRESOL XANXERÊ;IDRT;2020-11-03T09:30:00.000Z
07512780;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DO VALE EUROPEU - CRESOL VALE EUROPEU;IDRT;2020-11-03T09:30:00.000Z
07564184;COOPERATIVA DE CRÉDITO RURAL DO SERTÃO ALAGOANO ASCOOB COCREAL;IDRT;2020-11-03T09:30:00.000Z
07599206;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA. - SECOVICRED;IDRT;2020-11-03T09:30:00.000Z
07669921;COOPERATIVA DE CRÉDITO MÚTUO DOS MICROS E PEQUENOS EMPRESÁRIOS E MICROEMPREENDEDORES DE SÃO CARLOS - SICOOB CREDIACISC;IDRT;2020-11-03T09:30:00.000Z
07679404;BANCO TOPÁZIO S.A.;DRCT;2020-11-03T09:30:00.000Z
07714057;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA ÁREA NOTARIAL E REGISTRAL - COOPNORE;IDRT;2020-11-03T09:30:00.000Z
07789195;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO E DOS TRANSPORTADORES RODOVIÁRIOS DE VEÍCULOS – SICOOB CREDCEG;IDRT;2020-11-03T09:30:00.000Z
07853842;COOPERATIVA DE CRÉDITO RURAL DE OURO SULCREDI/OURO;DRCT;2020-11-03T09:30:00.000Z
07925729;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA NORTE PARANAENSE - CRESOL NORTE PARANAENSE;IDRT;2020-11-03T09:30:00.000Z
07945233;PÓLOCRED SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;DRCT;2020-11-03T09:30:00.000Z
07946216;COOPERATIVA DE CRÉDITO MÚTUO DOS MICRO E PEQUENOS EMPRESÁRIOS E MICROEMPREENDEDORES DO GRANDE ABC - SICOOB GRANDE ABC.;IDRT;2020-11-03T09:30:00.000Z
07946451;COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TANGARÁ - CRESOL TANGARÁ;IDRT;2020-11-03T09:30:00.000Z
07958405;COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE RIO FORTUNA - CRESOL RIO FORTUNA;IDRT;2020-11-03T09:30:00.000Z
08030602;COOPERATIVA DE CRÉDITO MÚTUO DOS CORRETORES DE SEGUROS DO ESTADO DE SÃO PAULO - SICOOB CREDICOR/SP;IDRT;2020-11-03T09:30:00.000Z
08041950;COOPERATIVA DE ECONOMIA CRÉDITO MÚTUO MAGISTRADOS MEMBROS SERVIDORES PODER JUDICIÁRIO MINISTÉRIO PÚBLICO DEFENSORIA PÚBLICA PGE PGM POLÍCIA JUDICIÁRIA OFICIAIS REGISTRADORES CEARÁ SICREDI COOPERJURIS;IDRT;2020-11-03T09:30:00.000Z
08044854;COOPERATIVA DE CREDITO DO CENTRO DO ESTADO DE RONDONIA - SICOOB CENTRO;IDRT;2020-11-03T09:30:00.000Z
08055016;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE XAVANTINA - CRESOL XAVANTINA;IDRT;2020-11-03T09:30:00.000Z
08071414;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO – SICOOB COOPERAC;IDRT;2020-11-03T09:30:00.000Z
08075352;COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE TRANSPORTES DO SUL DO BRASIL - TRANSPOCRED;IDRT;2020-11-03T09:30:00.000Z
08143326;COOPERATIVA DE CRÉDITO DOS MÉDICOS E PROFISSIONAIS DE SAÚDE DE SÃO LUÍS - SICREDI SÃO LUÍS;IDRT;2020-11-03T09:30:00.000Z
