participante;nomeParticipante;tipoParticipante;dataHoraInicioOperacao
01187961;COOPERATIVA DE CRÉDITO DO DISTRITO FEDERAL E ENTORNO LTDA;IDRT;2020-11-03T09:30:00.000Z
01205736;COOPERATIVA DE CRÉDITO DO MÉDIO SUL BAIANO LTDA. – SICOOB COSTA DO DESCOBRIMENTO;IDRT;2020-11-03T09:30:00.000Z
01259518;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIMAIS CENTRO LESTE PAULISTA - SICOOB UNIMAIS CENTRO LESTE PAULISTA;IDRT;2020-11-03T09:30:00.000Z
01286361;UNIPRIME PIONEIRA COOPERATIVA DE CRÉDITO;IDRT;2020-11-03T09:30:00.000Z
01296040;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO ALGAR E EMPREENDEDORES DO TRIÂNGULO MINEIRO LTDA - SICOOB TRIÂNGULO;IDRT;2020-11-03T09:30:00.000Z
01330295;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS NO ESTADO DO ESPÍRITO SANTO;IDRT;2020-11-03T09:30:00.000Z
01374196;COOPERATIVA DE CRÉDITO DE SÃO FRANCISCO DE SALES LTDA. – SICOOB CREDISALES;IDRT;2020-11-03T09:30:00.000Z
01389651;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO CATARINENSE SICOOB CREDIPLANALTO SC/RS;IDRT;2020-11-03T09:30:00.000Z
01526924;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED IJUÍ LTDA - UNICRED IJUÍ;IDRT;2020-11-03T09:30:00.000Z
01559914;SICOOB AC CREDI - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE E NORDESTE MINEIRO LTDA.;IDRT;2020-11-03T09:30:00.000Z
01566038;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE MANAUS;IDRT;2020-11-03T09:30:00.000Z
01572667;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE, ENGENHARIA, ARQUITETURA, CONTABILIDADE, ADMINISTRAÇÃO, ECONOMIA E EMPRESÁRIOS DE ERECHIM LTDA;IDRT;2020-11-03T09:30:00.000Z
01604998;COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS;IDRT;2020-11-03T09:30:00.000Z
01608685;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RIO BRANCO LTDA;IDRT;2020-11-03T09:30:00.000Z
01609345;COOPERATIVA DE CRÉDITO CREDICAMPINA LTDA. - SICOOB CREDICAMPINA;IDRT;2020-11-03T09:30:00.000Z
01635462;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS DOS VALES DO TAQUARI E RIO PARDO E REGIÃO DA PRODUÇÃO LTDA;IDRT;2020-11-03T09:30:00.000Z
01637949;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAPANEMA;IDRT;2020-11-03T09:30:00.000Z
01644264;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA E DO CIRCUITO DO OURO LTDA. - SICOOB CREDIMEPI;IDRT;2020-11-03T09:30:00.000Z
01657678;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE SÃO SEBASTIÃO DO PARAÍSO LTDA. - SICOOB PARAÍSOCRED;IDRT;2020-11-03T09:30:00.000Z
01664968;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS UNIRONDÔNIA LTDA;IDRT;2020-11-03T09:30:00.000Z
01667352;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SERTÃO DE MINAS GERAIS LTDA. - SICOOB SERTÃO MINAS;IDRT;2020-11-03T09:30:00.000Z
01667766;SICOOB CREDINOVA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE NOVA SERRANA E REGIÃO CENTRO-OESTE LTDA.;IDRT;2020-11-03T09:30:00.000Z
01692448;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO SERRANO - SICOOB CREDISERRA SC;IDRT;2020-11-03T09:30:00.000Z
01699652;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUAXUPÉ LTDA. - SICOOB ACICREDI;IDRT;2020-11-03T09:30:00.000Z
01703620;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO DO CENTRO OESTE DE MINAS LTDA - SICOOB CREDESP;IDRT;2020-11-03T09:30:00.000Z
01705236;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED REGIÃO DA CAMPANHA LTDA - UNICRED REGIÃO DA CAMPANHA;IDRT;2020-11-03T09:30:00.000Z
01709266;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DE TEÓFILO OTONI LTDA.;IDRT;2020-11-03T09:30:00.000Z
01720488;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E MICRORREGIÕES LTDA.;IDRT;2020-11-03T09:30:00.000Z
01727929;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO PARANAÍBA, NOROESTE E OESTE DE MINAS LTDA - UNICRED INTEGRAÇÃO DE MINAS;IDRT;2020-11-03T09:30:00.000Z
01736243;UNIPRIME ALLIANCE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO;IDRT;2020-11-03T09:30:00.000Z
01736516;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL E OESTE MINEIRO LTDA. - SICOOB DIVICRED;IDRT;2020-11-03T09:30:00.000Z
01739375;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE LAGOA DA PRATA E REGIÃO LTDA. SICOOB LAGOACRED GERAIS;IDRT;2020-11-03T09:30:00.000Z
01760242;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BELO HORIZONTE E CIDADES POLO DO ESTADO DE MINAS GERAIS LTDA. – SICOOB NOSSACOOP;IDRT;2020-11-03T09:30:00.000Z
01848322;UNIPRIME DO IGUAÇU - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE, DAS CIÊNCIAS, DAS ARTES E EMPRESÁRIOS;IDRT;2020-11-03T09:30:00.000Z
01864151;COOPERATIVA ECONOMIA CRÉDITO MÚTUO SERVIDORES E EMPREGADOS MUNIC PREF MUNIC BELO HORIZONTE BETIM BRUMADINHO CONTAGEM IBIRITÉ NOVA LIMA RIBEIRÃO DAS NEVES SABARÁ SANTA LUZIA VESPASIANO SICOOB CREDISERV;IDRT;2020-11-03T09:30:00.000Z
02000895;COOPERATIVA ECONOMIA CRÉDITO MÚTUO SERVIDORES PODER JUDICIÁRIO, TRIBUNAL CONTAS ESTADUAL E SERVIDORES ÓRGÃOS ENTIDADES ÁREA CIÊNCIA TECNOLOGIA NO ESTADO DO RIO DE JANEIRO LTDA.;IDRT;2020-11-03T09:30:00.000Z
02015588;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.;IDRT;2020-11-03T09:30:00.000Z
02025743;COOPERATIVA DE CRÉDITO RURAL ASCOOB COOPERAR;IDRT;2020-11-03T09:30:00.000Z
02031139;SICOOB CREDIMONTES - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO REGIONAL DE MONTES CLAROS LTDA;IDRT;2020-11-03T09:30:00.000Z
02038232;BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;DRCT;2020-11-03T09:30:00.000Z
02057584;COOPERATIVA DE CRÉDITO DO SERTÃO BAIANO LTDA - SICOOB SERTÃO;IDRT;2020-11-03T09:30:00.000Z
02072790;COOPERATIVA DE ECONOMIA CRÉDITO MÚTUO – SICOOB CREDSAÚDE;IDRT;2020-11-03T09:30:00.000Z
02090126;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO CHAPECOZINHO - SICOOB VALCREDI SUL;IDRT;2020-11-03T09:30:00.000Z
02093154;COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO MAGAZINE LUIZA, EMPRESAS CONTROLADAS E COLIGADAS – SICOOB COOPLUIZA;IDRT;2020-11-03T09:30:00.000Z
02137018;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RORAIMA LTDA.;IDRT;2020-11-03T09:30:00.000Z
02144899;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL DE RONDÔNIA SICOOB OUROCREDI;IDRT;2020-11-03T09:30:00.000Z
02173447;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM;IDRT;2020-11-03T09:30:00.000Z
02179673;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA ÁREA DE SAÚDE DE OURINHOS - OURICRED;IDRT;2020-11-03T09:30:00.000Z
02197569;COOPERATIVA DE CRÉDITO CREDSAOPAULO - SICOOB CREDSAOPAULO;IDRT;2020-11-03T09:30:00.000Z
02217068;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS CONTABILISTAS E CORRETORES DE SEGUROS DA GRANDE BELO HORIZONTE LTDA. - SICOOB CREDITABIL;IDRT;2020-11-03T09:30:00.000Z
02232383;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CIRCUITO CAMPOS DAS VERTENTES LTDA - SICOOB COPERMEC;IDRT;2020-11-03T09:30:00.000Z
02254376;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE DORES DO INDAIÁ LTDA - COOPCREDI;IDRT;2020-11-03T09:30:00.000Z
02275781;COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES FEDERAIS NA PARAÍBA - SICOOB COOPERCRET;IDRT;2020-11-03T09:30:00.000Z
02282165;COOPERATIVA DE CRÉDITO DO SUDOESTE BAIANO LTDA – SICOOB CREDICONQUISTA;IDRT;2020-11-03T09:30:00.000Z
02282709;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE GOIANO;IDRT;2020-11-03T09:30:00.000Z
02318507;BANCO KEB HANA DO BRASIL S.A.;DRCT;2020-11-03T09:30:00.000Z
02335109;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA ZONA DA MATA LTDA SICOOB COOPEMATA;IDRT;2020-11-03T09:30:00.000Z
